"id"	"ProteinCount"	"SpeciesCount"	"FunctionalCategory"	"ConsensusFunctionalDescription"
"VOG00001"	2431	68	"Xh"	"sp|Q5UR04|YR911_MIMIV Putative ankyrin repeat protein R911"
"VOG00002"	1113	925	"Xu"	"sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559"
"VOG00003"	367	72	"Xh"	"sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122"
"VOG00004"	871	89	"Xh"	"sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122"
"VOG00005"	693	29	"Xu"	"sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414"
"VOG00006"	940	693	"XhXrXs"	"sp|P17766|POLG_PPVNA Genome polyprotein"
"VOG00007"	1350	1037	"Xr"	"sp|O22001|VXIS_BPMD2 Excisionase"
"VOG00008"	210	146	"Xu"	"sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245"
"VOG00009"	113	46	"Xu"	"REFSEQ 2OG-Fe(II) oxygenase"
"VOG00010"	149	69	"Xu"	"sp|Q9YML3|BROJ_NPVLD Uncharacterized Bro-N domain-containing protein J"
"VOG00011"	175	152	"Xu"	"sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245"
"VOG00012"	99	50	"Xu"	"sp|Q5UPB3|YL037_MIMIV Putative KilA-N domain-containing protein L37"
"VOG00013"	213	17	"Xu"	"REFSEQ hypothetical protein"
"VOG00014"	271	44	"Xh"	"sp|Q5UQA7|YR542_MIMIV Putative F-box/LRR-repeat protein R542"
"VOG00015"	162	155	"Xu"	"sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246"
"VOG00016"	79	54	"Xh"	"sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673"
"VOG00017"	562	522	"Xu"	"sp|Q6QGG9|D5_BPT5 Putative transcription factor D5"
"VOG00018"	274	272	"XhXp"	"sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit"
"VOG00019"	233	19	"Xu"	"sp|Q5UPD3|YR061_MIMIV Putative BTB/POZ domain and WD-repeat protein R61"
"VOG00020"	431	144	"XhXs"	"sp|Q5UP57|P4H_MIMIV Putative prolyl 4-hydroxylase"
"VOG00021"	59	26	"XhXs"	"sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2"
"VOG00022"	204	165	"Xu"	"sp|Q91F66|460R_IIV6 Uncharacterized protein 460R"
"VOG00023"	435	310	"XrXs"	"sp|P27330|TGB1_LSV Movement and silencing protein TGBp1"
"VOG00024"	54	48	"Xu"	"sp|P03796|Y77_BPT7 Protein 7.7"
"VOG00025"	49	32	"Xh"	"sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease"
"VOG00026"	151	29	"Xu"	"REFSEQ putative virion structural protein"
"VOG00027"	827	315	"Xh"	"sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818"
"VOG00028"	197	20	"Xs"	"sp|F5HDC7|US22_HCMVM Tegument protein US22"
"VOG00029"	349	130	"Xh"	"sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP"
"VOG00030"	370	166	"Xs"	"sp|A7U6E9|MCP_POV01 Major capsid protein"
"VOG00031"	219	35	"Xu"	"REFSEQ virion structural protein"
"VOG00032"	386	308	"XhXpXrXs"	"sp|B9VUU3|POLG_HE71 Genome polyprotein"
"VOG00033"	117	16	"Xu"	"sp|Q5UPP5|YL181_MIMIV Uncharacterized protein L181"
"VOG00034"	83	71	"Xh"	"sp|Q8R5N7|KPTA_FUSNN Probable RNA 2'-phosphotransferase"
"VOG00035"	330	297	"Xu"	"sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region"
"VOG00036"	57	44	"Xu"	"sp|Q91FA5|420R_IIV6 Putative MSV199 domain-containing protein 420R"
"VOG00037"	57	30	"Xu"	"sp|Q5UR86|YR635_MIMIV Uncharacterized protein R635"
"VOG00038"	192	51	"Xu"	"REFSEQ hypothetical protein"
"VOG00039"	162	54	"XhXp"	"sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1"
"VOG00040"	126	118	"Xu"	"sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region"
"VOG00041"	226	190	"XhXr"	"sp|Q64962|RDRP_ASPVP RNA replication polyprotein"
"VOG00042"	51	35	"Xh"	"sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI"
"VOG00043"	105	99	"Xu"	"REFSEQ Lar-like restriction alleviation protein"
"VOG00044"	191	165	"Xu"	"REFSEQ hypothetical protein"
"VOG00045"	1887	1441	"Xh"	"sp|P00276|GLRX_BPT4 Glutaredoxin"
"VOG00046"	115	18	"Xu"	"REFSEQ hypothetical protein"
"VOG00047"	76	48	"Xu"	"REFSEQ hypothetical protein"
"VOG00048"	131	16	"Xh"	"sp|Q9FN03|UVR8_ARATH Ultraviolet-B receptor UVR8"
"VOG00049"	102	24	"Xu"	"sp|Q5UP92|YL018_MIMIV Putative sel1-like repeat-containing protein L18"
"VOG00050"	734	733	"Xu"	"sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)"
"VOG00051"	409	80	"Xu"	"REFSEQ 2OG-Fe(II) oxygenase"
"VOG00052"	1297	443	"XhXpXrXs"	"sp|P13333|TUBE_BPT4 Tail tube protein gp19"
"VOG00053"	624	512	"XhXp"	"sp|P29538|MTH1_HAEPA Type II methyltransferase M.HpaI"
"VOG00054"	401	381	"Xu"	"sp|P41039|YBII_ECOLI Uncharacterized protein YbiI"
"VOG00055"	61	51	"Xu"	"REFSEQ hypothetical protein"
"VOG00056"	54	15	"Xu"	"sp|O55752|148R_IIV6 Putative MSV199 domain-containing protein 148R"
"VOG00057"	66	23	"Xu"	"REFSEQ hypothetical protein"
"VOG00058"	48	30	"Xh"	"sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1"
"VOG00059"	1359	1266	"XhXr"	"sp|P22877|INTR_SACER Integrase"
"VOG00060"	1502	1429	"XhXr"	"sp|P04520|PRIM_BPT4 DNA primase"
"VOG00061"	83	33	"Xh"	"sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase"
"VOG00062"	106	106	"Xs"	"sp|P15098|TGB3_NMV Movement protein TGBp3"
"VOG00063"	90	12	"Xu"	"REFSEQ hypothetical protein"
"VOG00064"	123	20	"Xu"	"sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796"
"VOG00065"	85	83	"Xs"	"sp|P85991|IGLVP_BPSK9 Ig-like virion protein"
"VOG00066"	31	27	"Xh"	"sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1"
"VOG00067"	187	179	"Xu"	"sp|P03770|NING_LAMBD Protein ninG"
"VOG00068"	983	957	"XhXr"	"sp|Q9CQ43|DUT_MOUSE Deoxyuridine 5'-triphosphate nucleotidohydrolase"
